runtime,best_objective,Makespan,MachineEC,MachineIdleT,TransEC
240.3400002,1807.228937,1202.392443,503.315094,2346.081566,932.5664775
240.1960001,4413.163566,1789.047963,546.986755,8362.861098,668.0261999
240.224,3453.024469,1608.1554,515.0796585,6073.337729,871.9767688
240.2519999,4264.81135,1790.855786,468.6314614,7966.890228,871.3018007
240.3019998,3146.890927,1610.229212,566.072107,5225.932551,929.9868924
240.5289998,2338.475014,1390.216181,540.6108859,3501.214507,828.2919218
240.3500001,4177.773467,1763.590298,525.1429287,7704.126147,903.1485848
240.1689999,4156.445565,1728.547156,453.5584811,7854.247122,709.5223096
360.2149999,2921.278975,1423.471646,500.6161436,4892.110633,973.9980311
360.2020001,2753.774842,1502.53268,530.0527648,4390.556407,922.5905045
360.2379999,2303.694323,1271.635929,492.5477262,3590.215977,809.6723512
360.158,2385.339817,1385.219929,545.0838981,3599.863684,866.3640618
360.2520001,2359.781687,1270.035102,476.8876677,3675.07004,954.9228144
360.382,1960.92211,1263.148294,507.413208,2777.267141,708.953266
360.1559999,2405.558601,1326.90247,511.6136403,3777.478723,795.8033409
362.0940001,2800.622364,1504.749509,555.0316158,4485.005899,913.5377743
360.2090001,2705.162141,1441.072938,493.5678337,4407.909089,840.7109858
360.2909999,1826.489098,1218.12404,506.0925868,2403.309066,877.3941043
360.1790001,2965.858563,1491.362489,534.923939,4901.992661,972.734639
360.201,3189.284119,1555.218539,531.8327443,5345.726045,1080.865937
363.8599999,2498.87221,1434.469963,520.1016913,3852.975934,879.2658714
360.174,1675.449249,1174.367737,524.0618194,1995.921744,988.5436425
360.313,1649.661158,1210.256124,511.1106849,2045.425165,714.7218417
360.191,3131.879016,1520.537527,519.31107,5237.779285,1104.139317
360.3099999,1696.511967,1174.365726,531.3090281,2138.412773,794.384779
360.161,2120.736095,1294.364775,501.5893802,3121.136888,769.4983887
360.1790001,2023.019059,1210.735743,498.9252784,2838.638602,1018.496048
360.5410001,2805.861593,1386.052224,464.294088,4434.964608,1458.686128
360.2590001,2745.84154,1422.1806,482.7765282,4504.257216,910.7790121
360.211,3004.270123,1495.500702,503.1559702,4957.907844,1108.221585
360.177,2836.541569,1480.158468,549.6256829,4586.706785,949.7259714
600.332,3466.240686,1557.862178,484.6137092,6137.722451,970.8067533
600.23,2064.69744,1276.815279,506.5974698,2903.014369,950.632965
600.309,1856.675459,1203.285195,466.7955713,2538.206263,866.8032364
600.3310001,2897.197238,1436.646955,469.7624417,4872.425696,928.3160049
600.234,1561.511116,1091.855299,445.3464076,1857.30006,1018.552044
600.1830001,2247.564958,1310.339086,510.3750966,3337.054917,922.2865918
600.197,1821.168352,1182.580866,499.8684036,2336.236353,1068.470513
600.201,1969.74018,1264.77473,492.6549386,2772.754464,788.3326357
600.191,1925.210166,1238.402405,487.1015883,2641.884136,891.2745711
600.2309999,1689.98574,1223.530734,541.8010888,2072.09693,775.0711946
600.253,2019.350032,1184.922222,434.2210276,2907.700988,1043.061688
600.247,2718.351448,1480.260543,575.4660774,4356.571604,767.1607899
600.181,1823.941396,1279.785944,538.8585568,2293.269051,895.8798751
600.266,1860.122536,1164.955768,466.0768795,2518.860375,1000.826634
600.22,3193.012559,1613.633194,545.7523084,5380.958766,884.3742614
600.2440002,1407.828664,1133.574904,508.0293022,1428.837447,898.2600128
600.2359998,1898.013766,1203.943005,467.5550955,2727.379434,692.3137625
600.188,1909.12855,1258.876141,546.6823232,2446.80875,1040.908321
600.1960001,1992.736322,1238.764095,455.1809065,2780.653061,1014.485486
600.3509998,2486.506981,1380.705126,512.3761289,3929.808561,786.7552735
600.2740002,2303.031659,1386.960024,563.9711342,3397.035914,819.2241509
600.1760001,2023.385139,1292.680453,531.1569877,2749.720251,969.8103121
600.2559998,1903.437134,1218.819821,483.2266372,2698.89451,715.3037359
600.2160001,2012.794764,1236.072848,534.8453175,2793.338891,935.4597061
600.243,2516.170255,1422.117697,549.1685898,3899.430037,839.4186303
600.8729999,2002.806543,1216.804158,529.0018666,2823.388744,875.6431771
600.25,2005.477238,1251.802351,482.0689403,2892.32863,774.9863482
600.217,1906.586447,1197.747522,514.3368845,2645.7508,817.2618248
600.2389998,1484.134288,1104.374977,494.7967693,1787.166942,647.9940649
600.26,2785.209622,1377.969052,453.0450513,4664.458642,935.102616
600.3019998,2115.053525,1288.845843,490.5022666,3113.59581,789.3797863
600.487,2011.806408,1279.802602,504.450736,2919.043399,652.4385672
600.2910001,1761.27335,1213.09947,480.1997918,2308.340907,803.0864103
600.2060001,3277.995804,1614.598377,554.1560936,5545.8414,960.7872762
600.3209999,2205.078883,1376.07651,543.8966185,3217.040422,751.3673147
600.2409999,2527.765531,1335.428287,457.2327869,3969.115828,1115.273852
600.1950002,2168.675853,1335.791151,550.4505398,3077.183404,916.5290772
600.2390001,2125.656186,1325.611552,498.1528914,3088.207596,804.3368537
600.223,1411.704158,1078.050421,499.963492,1544.589187,813.3145887
600.224,1921.480362,1235.801534,482.8468119,2503.563002,1162.979116
600.25,2800.426863,1439.627623,494.7134324,4742.700465,648.0512738
600.2809999,1674.832514,1154.098483,487.9221664,2160.002052,770.1171661
600.2510002,2237.764994,1302.043112,544.6204514,3194.707011,1106.083821
600.207,2194.914659,1382.107133,587.0008178,3110.568169,815.2210562
600.1830001,2270.508922,1378.934634,549.0229748,3236.350396,1023.928602
600.221,2102.368834,1240.909769,538.5147916,2909.851314,1133.292419
600.3380001,1670.006721,1195.206911,516.1573414,2118.271383,690.7623334
600.2149999,4057.450867,1714.74839,496.602411,7502.050123,860.4524872
600.1919999,2239.212278,1352.264125,473.0644278,3336.921729,871.5608255
600.188,2144.683664,1320.16843,541.1298598,2995.110205,1010.601332
600.234,2082.419431,1316.412974,572.8198681,2973.193778,687.2439127
600.237,2612.848808,1413.328699,532.0658058,4168.013268,837.4284932
600.3000002,2110.492889,1285.449267,500.4537279,3028.386543,923.8853699
600.266,1531.551544,1171.13979,496.0569605,1709.647696,904.0688254
600.1759999,1824.861763,1281.225613,549.0950911,2235.169997,993.3274123
600.2490001,2024.03798,1305.78678,552.9914099,2756.13699,890.3595386
600.2220001,2154.059606,1310.900396,507.0559887,3104.355111,925.6750401
600.257,2865.563128,1497.738991,517.500748,4768.991126,759.3539087
600.1789999,1951.16827,1277.13692,483.0916541,2725.965794,783.452614
600.191,1918.718933,1220.863696,494.821286,2666.629774,828.9651527
600.2340002,2099.385776,1249.675331,486.2696798,3093.678026,837.6828082
600.3169999,2161.132798,1321.647599,522.3736199,3078.103715,961.4141233
600.2160001,1783.047227,1178.004033,466.3292768,2412.828671,800.9121745
600.211,2759.181127,1456.101244,539.5300382,4385.557009,1033.529052
600.2409999,2376.088368,1357.733735,503.3389298,3619.288784,919.7189437
600.2450001,1813.064839,1240.817649,543.4166431,2419.279604,658.2964053
600.2079999,3643.395518,1623.046908,509.9359705,6565.289317,820.4332006
600.3130002,2179.442282,1273.379979,510.2542881,3233.779628,862.3836181
600.2579999,1735.129773,1202.843738,498.6521055,2188.966343,894.7244929
